,word,frequency
1048,smoking,15
1049,hated,15
1050,leader,15
1051,fair,15
1052,correct,15
1053,warning,15
1054,grows,15
1055,grandson,15
1056,milk,15
1057,healthy,15
1058,cheeks,15
1059,expenses,15
1060,ridiculous,15
1061,cake,15
1062,profit,15
1063,loving,15
1064,nice,15
1065,obtained,15
1066,toward,15
1067,fountain,15
1068,shared,15
1069,mercy,15
1070,sooner,15
1071,goal,15
1072,vocal,15
1073,dine,15
1074,bringing,15
1075,successive,15
1076,clothing,15
1077,problems,15
1078,offering,15
1079,penalty,15
1080,historian,15
1081,confined,15
1082,stable,15
1083,elegant,15
1084,considerable,15
1085,funeral,15
1086,loss,15
1087,balance,15
1088,logic,15
1089,servants,14
1090,studied,14
1091,whip,14
1092,safe,14
1093,loose,14
1094,cough,14
1095,phenomenon,14
1096,genuine,14
1097,luxury,14
1098,elevated,14
1099,consciousness,14
1100,gain,14
1101,comprehend,14
1102,compassion,14
1103,madness,14
1104,plants,14
1105,possibility,14
1106,principle,14
1107,properly,14
1108,hostile,14
1109,gained,14
1110,bloody,14
1111,valley,14
1112,imagined,14
1113,woods,14
1114,eighteen,14
1115,observation,14
1116,visits,14
1117,slow,14
1118,cherished,14
1119,foolish,14
1120,sensation,14
1121,increase,14
1122,idiot,14
1123,drive,14
1124,suicide,14
1125,deaf,14
1126,growth,14
1127,accident,14
1128,naturally,14
1129,debt,14
1130,restored,14
1131,classic,14
1132,poet,14
1133,resolved,14
1134,lied,14
1135,crack,14
1136,victim,14
1137,luck,14
1138,expecting,14
1139,lucky,14
1140,relatives,14
1141,treat,14
1142,shining,14
1143,profession,14
1144,jealous,13
1145,soft,13
1146,eats,13
1147,hang,13
1148,observe,13
1149,rains,13
1150,humor,13
1151,tradition,13
1152,riches,13
1153,bought,13
1154,battles,13
1155,library,13
1156,avoid,13
1157,tobacco,13
1158,devoted,13
1159,sweetness,13
1160,familiar,13
1161,execution,13
1162,pressure,13
1163,cuts,13
1164,network,13
1165,abroad,13
1166,treasure,13
1167,stroke,13
1168,market,13
1169,freely,13
1170,beam,13
1171,demands,13
1172,seventeen,13
1173,disgrace,13
1174,legitimate,13
1175,discover,13
1176,shots,13
1177,dies,13
1178,protected,13
1179,destroyed,13
1180,climbed,13
1181,thieves,13
1182,driving,12
1183,relate,12
1184,numbers,12
1185,silk,12
1186,safety,12
1187,granted,12
1188,learn,12
1189,amazed,12
1190,climbing,12
1191,erected,12
1192,dreamer,12
1193,fat,12
1194,shows,12
1195,plane,12
1196,dizzy,12
1197,disaster,12
1198,blame,12
1199,flies,12
1200,demon,12
1201,operation,12
1202,significant,12
1203,hoped,12
1204,shower,12
1205,clean,12
1206,assembled,12
1207,wealth,12
1208,fish,12
1209,bald,12
1210,expense,12
1211,plays,12
1212,locked,12
1213,enjoy,12
1214,plant,12
1215,praying,12
1216,burial,12
1217,travel,12
1218,saints,12
1219,rats,12
1220,baker,12
1221,quick,12
1222,quit,12
1223,reflect,12
1224,offers,12
1225,inspire,12
1226,ring,12
1227,benefit,12
1228,fantastic,12
1229,student,12
1230,skirt,12
1231,farm,12
1232,pain,12
1233,denied,12
1234,residence,12
1235,tearing,12
1236,saving,12
1237,prince,12
1238,proceeds,11
1239,sadly,11
1240,hoping,11
1241,arise,11
1242,tale,11
1243,suspect,11
1244,butterflies,11
1245,fright,11
1246,hotel,11
1247,relief,11
1248,brains,11
1249,variety,11
1250,princes,11
1251,wheat,11
1252,developed,11
1253,glowing,11
1254,deposit,11
1255,hurricane,11
1256,dim,11
1257,bridges,11
1258,colors,11
1259,wasted,11
1260,smiles,11
1261,grant,11
1262,studies,11
1263,hills,11
1264,wishes,11
1265,gods,11
1266,dirty,11
1267,apple,11
1268,resignation,11
1269,isolation,11
1270,deny,11
1271,costs,11
1272,qualities,11
